CITY,STATE,POPULATION,MARKET_SHARE
Atchison, Kan.,16580,95%
Portales, N.M.,19730,95%
Sterling, Colo.,22068,91%
Deming, N.M.,24699,90%
Guymon, Ohio,21385,90%
Nonh Platte, Neb.,37043,87%
Wahpeton,N.D.,23036,84%
Coffey.'ille, Kan.,33434,83%
Othello, Wash.,19806,83%
Bismarck, N.D.,135654,83%
Helena-West Helena, Ark,20176,80%
Altus, Okla.,25931,77%
Parsons, Kan.,20761,77%
Miami, Okla.,32260,77%
Sweetwater, Texas,15101,77%
Grenada, Miss.,21706,76%
Huron, S.D.,18082,75%
Greensburg, Ind.,26711,74%
Clarksdale, Miss.,25085,74%
Dumas, Texas,22485,74%
Dickinson, N.D.,33239,73%
Winnemucca, Nev.,17327,73%
Hereford, Texas,19159,73%
Pampa, Texas,23423,72%
Mexico, Mo.,26325,71%
Pierre, S.D.,22192,71%
Arkadelphia, Ark.,22798,71%
Point Pleasant, W.Va.,56967,71%
Malvern, Ark.,33811,71%
Las Vegas, N.M.,28262,71%
Lawton, Okla.,132272,71%
Joplin, Mo.,180743,71%
Fitzgerald, Ga.,17373,70%
Marshall, Mo.,23448,70%
Brookhaven, Miss.,35053,70%
Union City, Tenn.,37185,70%
Amarillo, Texas,263797,70%
Ruston, La.,48279,70%
Stillwater, Okla.,82260,69%
Wauchula, Fla.,27697,69%
Cambridge, Md.,32186,69%
Forrest City, Ark.,27268,69%
Vernon, Texas,13146,69%
Fayetteville-Springdale-Rogers, Ark.,525855,69%
Moberly, Mo.,25214,69%
Beatrice, Neb.,21818,69%
Natchez, Miss.,51877,69%
Sulphur Springs, Texas,36476,68%
Borger, Texas,22055,68%
Indianola, Miss.,27561,68%
Woodward, Okla.,21706,68%
Meridian, Miss.,105387,67%
Durant, Okla.,45339,66%
Mitchell, S.D.,23428,66%
Springfield, Mo.,462821,66%
Dixon, Ill.,34724,66%
Mineral Wells, Texas,28104,66%
Arcadia, Fla.,35890,66%
Fort Polk South, La.,51637,65%
Jonesboro, Ark.,131178,65%
Branson, Mo.,86046,65%
Whitewater-Elkhorn,Wis.,102562,65%
Levelland, Texas,23528,65%
Columbus, Ind.,82559,65%
Jamestown, N.D.,21208,65%
McAlester, Okla.,44721,64%
Duncan, Okla.,44724,64%
Seneca Falls, N.Y.,35206,64%
Grand Island, Neb.,85805,64%
Lexington, Neb.,25980,63%
Wichita Falls, Texas,152271,63%
Magnolia, Ark.,24126,62%
Monroe, La.,181422,62%
Bennettsville, S.C.,27439,62%
Elk City, Okla.,24087,62%
Mountain Home, Idaho,25613,62%
Mount Pleasant, Texas,33078,62%
Fairmont, W.Va.,57180,62%
Sedalia, Mo.,42362,61%
Espafiola, N.M.,40002,61%
Tupelo, Miss.,140563,61%
Cape Girardeau,Mo.,98337,61%
Fort Smith,Ark.,282199,61%
Platteville, Wis.,52866,61%
San Angelo, Texas,121466,61%
Fallon, Nev.,24420,61%
Goldsboro, N.C.,124074,60%
Cordele, Ga.,23099,60%
Ada, Okla.,38583,60%
St Joseph,Mo.,128474,60%
Hot Springs, Ark.,97286,59%
Oklahoma City, Okla.,1379709,59%
Bastrop, La.,27216,59%
Sault Ste. Marie, Mich.,38414,59%
El Dorado, Ark.,40210,59%
Hattiesburg, Miss.,149129,58%
Carlsbad-Artesia, N.M.,58117,58%
Clewiston, Fla.,38777,58%
Garden City, Kan.,41119,58%
Tyler, Texas,224825,58%
Grand Forks,N.D.,104979,58%
Blytheville, Ark.,44660,58%
Jesup, Ga.,29022,58%
Selma, Ala.,41952,57%
Craig, Colo.,12935,57%
DeRidder, La.,36776,57%
Weatherford, Okla.,29964,57%
Las Cruces, N.M.,218401,57%
Greenwood, Miss.,41433,57%
Roswell, N.M.,66433,57%
Alexandria, La.,156114,57%
Vermillion, S.D.,14227,56%
Lebanon, Mo.,35411,56%
Camden, Ark.,29594,56%
Yankton, S.D.,22994,56%
Florence-Muscle Shoals, Ala,148719,56%
Texarkana,Texas,150652,56%
Liberal, Kan.,23145,56%
Menomonie, Wis.,44266,56%
Blackfoot, Idaho,44975,56%
Rome, Ga.,97137,56%
Paragould, Ark.,44702,56%
Gulfport-Biloxi-Pascagoula, Miss.,396677,56%
Bainbridge, Ga.,27330,56%
Danville, Ky.,54117,56%
Scottsbluff, Neb.,38304,56%
Clovis, N.M.,51513,55%
Hutchinson, Minn.,35778,55%
Talladega-Sylacauga, Ala.,91351,55%
Jacksonville, N.C.,192666,55%
Warrensburg, Mo.,55167,55%
Fort Leonard Wood, Mo.,54039,55%
Maryville, Mo.,23237,55%
Longview, Texas,219965,55%
Fairfield, Iowa,17222,55%
Dodge City, Kan.,34252,55%
Crescent City, Calif.,27555,55%
Junction City, Kan.,37328,55%
Starkville, Miss.,50598,55%
Parkersburg-Vienna, W.Va.,93125,55%
Thomaston, Ga.,26436,55%
Searcy, Ark.,79919,55%
Dayton, Tenn.,32403,54%
Brookings, S.D.,34318,54%
Summerville, Ga.,24956,54%
Albertville, Ala.,95247,54%
La Grande, Ore.,26131,54%
Farmington, Mo.,66824,54%
Pueblo, Colo.,164368,54%
Toccoa, Ga.,25775,54%
Hannibal, Mo.,39091,53%
Laramie, Wyo.,37950,53%
Moultrie, Ga.,45794,53%
Alexandria, Minn.,37309,53%
Russellville, Ark.,86165,53%
Clarksburg, W.Va.,94906,53%
Anniston-Oxford-Jacksonville, Ala,115648,53%
Connersville, Ind.,23671,53%
Bluefield, W.Va.-Va.,103989,53%
Brownwood, Texas,38507,53%
Vernal, Utah,39259,53%
Cheyenne, Wyo.,98078,52%
Statesboro, Ga.,73724,52%
Cedartown, Ga.,42062,52%
Morgan City, La.,53273,52%
Ames, Iowa,97498,52%
Coshocton, Ohio,36552,52%
Scottsboro, Ala.,52716,52%
Rochelle, Ill.,52253,52%
Jacksonville, Ill.,39955,52%
Shawano, Wis.,45869,52%
Kennett, Mo.,31429,52%
Spearfish, S.D.,25531,52%
Tulsa, Okla.,998637,52%
Great Falls, Mont.,82786,52%
Charleston-Mattoon, Ill.,62972,52%
Silver City, N.M.,29072,52%
Chillicothe, Ohio,76975,52%
Ardmore, Okla.,49056,52%
Evanston, W90,20961,52%
Jefferson City, Mo.,152851,52%
Vidalia, Ga.,36212,52%
Elkins, W.Va.,29269,52%
Marshall, Minn.,25601,51%
Tahlequah, Okla.,48645,51%
Casper, Wyo.,83011,51%
Natchitoches, La.,39553,51%
Yuma, Ariz.,205420,51%
Athens, Texas,79945,51%
Kirksville, Mo.,30158,51%
Morgantown, W.Va.,137227,51%
Daphne-Fairhope-Foley, Ala.,208745,51%
Watertown, S.D.,28425,51%
Victoria, Texas,101671,51%
Vincennes, Ind.,38026,51%
Van Weft, Ohio,28729,51%
Logan,Utah,137492,50%
Frankfort, Ind.,32929,50%
Maysville, Ky.,17230,50%
Enid, Okla.,62602,50%
Shawnee, Okla.,71961,50%
Troy, Ala.,33368,50%
Fort Morgan, Colo. ,28721,50%
