store,date,weekly_sales
1,2010-02-05,1643690.9
1,2010-02-12,1641957.4399999997
1,2010-02-19,1611968.17
1,2010-02-26,1409727.5900000003
1,2010-03-05,1554806.68
1,2010-03-12,1439541.5900000005
1,2010-03-19,1472515.7899999998
1,2010-03-26,1404429.9200000004
1,2010-04-02,1594968.2799999998
1,2010-04-09,1545418.5300000005
1,2010-04-16,1466058.28
1,2010-04-23,1391256.12
1,2010-04-30,1425100.7100000002
1,2010-05-07,1603955.1200000003
1,2010-05-14,1494251.5000000002
1,2010-05-21,1399662.0700000003
1,2010-05-28,1432069.9500000002
1,2010-06-04,1615524.71
1,2010-06-11,1542561.09
1,2010-06-18,1503284.0599999998
1,2010-06-25,1422711.5999999996
1,2010-07-02,1492418.1399999997
1,2010-07-09,1546074.1799999997
1,2010-07-16,1448938.9200000002
1,2010-07-23,1385065.2000000004
1,2010-07-30,1371986.6
1,2010-08-06,1605491.7799999998
1,2010-08-13,1508237.7600000005
1,2010-08-20,1513080.49
1,2010-08-27,1449142.9200000004
1,2010-09-03,1540163.53
1,2010-09-10,1507460.6900000002
1,2010-09-17,1430378.67
1,2010-09-24,1351791.03
1,2010-10-01,1453329.4999999998
1,2010-10-08,1508239.93
1,2010-10-15,1459409.0999999996
1,2010-10-22,1345454.0
1,2010-10-29,1384209.2200000002
1,2010-11-05,1551659.2799999993
1,2010-11-12,1494479.4899999998
1,2010-11-19,1483784.1800000006
1,2010-11-26,1955624.1099999996
1,2010-12-03,1548033.7799999993
1,2010-12-10,1682614.26
1,2010-12-17,1891034.929999999
1,2010-12-24,2387950.1999999997
1,2010-12-31,1367320.0099999998
1,2011-01-07,1444732.2799999996
1,2011-01-14,1391013.9599999997
1,2011-01-21,1327405.4200000002
1,2011-01-28,1316899.31
1,2011-02-04,1606629.5799999998
1,2011-02-11,1649614.9300000002
1,2011-02-18,1686842.7799999996
1,2011-02-25,1456800.2799999998
1,2011-03-04,1636263.41
1,2011-03-11,1553191.6300000001
1,2011-03-18,1576818.0599999998
1,2011-03-25,1541102.38
1,2011-04-01,1495064.75
1,2011-04-08,1614259.3500000006
1,2011-04-15,1559888.9999999998
1,2011-04-22,1564819.81
1,2011-04-29,1455090.6899999997
1,2011-05-06,1629391.2800000003
1,2011-05-13,1604775.58
1,2011-05-20,1428218.2699999996
1,2011-05-27,1466046.6699999995
1,2011-06-03,1635078.4100000004
1,2011-06-10,1588948.3199999998
1,2011-06-17,1532114.8599999996
1,2011-06-24,1438830.1500000001
1,2011-07-01,1488538.09
1,2011-07-08,1534849.6400000004
1,2011-07-15,1455119.97
1,2011-07-22,1396926.8200000005
1,2011-07-29,1352219.7899999998
1,2011-08-05,1624383.75
1,2011-08-12,1525147.09
1,2011-08-19,1530761.43
1,2011-08-26,1464693.4599999997
1,2011-09-02,1550229.2200000002
1,2011-09-09,1540471.2400000002
1,2011-09-16,1514259.7799999996
1,2011-09-23,1380020.2699999998
1,2011-09-30,1394561.83
1,2011-10-07,1630989.9499999993
1,2011-10-14,1493525.9300000002
1,2011-10-21,1502562.7800000003
1,2011-10-28,1445249.0899999999
1,2011-11-04,1697229.5799999994
1,2011-11-11,1594938.8900000001
1,2011-11-18,1539483.7000000002
1,2011-11-25,2033320.6600000001
1,2011-12-02,1584083.95
1,2011-12-09,1799682.38
1,2011-12-16,1881176.67
1,2011-12-23,2270188.99
1,2011-12-30,1497462.7199999997
1,2012-01-06,1550369.9199999997
1,2012-01-13,1459601.1700000002
1,2012-01-20,1394393.84
1,2012-01-27,1319325.59
1,2012-02-03,1636339.6500000001
1,2012-02-10,1802477.4300000004
1,2012-02-17,1819869.9999999995
1,2012-02-24,1539387.8300000003
1,2012-03-02,1688420.7599999998
1,2012-03-09,1675431.1599999997
1,2012-03-16,1677472.78
1,2012-03-23,1511068.0699999998
1,2012-03-30,1649604.63
1,2012-04-06,1899676.8799999997
1,2012-04-13,1621031.7
1,2012-04-20,1521577.8699999999
1,2012-04-27,1468928.3699999994
1,2012-05-04,1684519.99
1,2012-05-11,1611096.05
1,2012-05-18,1595901.8699999996
1,2012-05-25,1555444.5500000003
1,2012-06-01,1624477.5800000003
1,2012-06-08,1697230.9600000002
1,2012-06-15,1630606.9999999998
1,2012-06-22,1527845.81
1,2012-06-29,1540421.4900000002
1,2012-07-06,1769854.16
1,2012-07-13,1527014.04
1,2012-07-20,1497954.7600000002
1,2012-07-27,1439123.7100000004
1,2012-08-03,1631135.7899999996
1,2012-08-10,1592409.97
1,2012-08-17,1597868.0500000003
1,2012-08-24,1494122.3800000004
1,2012-08-31,1582083.4000000001
1,2012-09-07,1661767.3299999998
1,2012-09-14,1517428.8699999999
1,2012-09-21,1506126.06
1,2012-09-28,1437059.2600000002
1,2012-10-05,1670785.9699999997
1,2012-10-12,1573072.8099999998
1,2012-10-19,1508068.7700000003
1,2012-10-26,1493659.7399999995
2,2010-02-05,2136989.46
2,2010-02-12,2137809.499999999
2,2010-02-19,2124451.5400000005
2,2010-02-26,1865097.27
2,2010-03-05,1991013.1300000001
2,2010-03-12,1990483.7799999998
2,2010-03-19,1946070.8800000006
2,2010-03-26,1750197.81
2,2010-04-02,2066187.7199999995
2,2010-04-09,1954689.2100000002
2,2010-04-16,1874957.9400000002
2,2010-04-23,1821990.93
2,2010-04-30,1802450.29
2,2010-05-07,2042581.7100000002
2,2010-05-14,1880752.3599999996
2,2010-05-21,1896937.0999999994
2,2010-05-28,1957113.8899999997
2,2010-06-04,2102539.9299999997
2,2010-06-11,2025538.76
2,2010-06-18,2001636.96
2,2010-06-25,1939927.0899999999
2,2010-07-02,2003940.6400000006
2,2010-07-09,1880902.6199999994
2,2010-07-16,1845879.7900000003
2,2010-07-23,1781717.7100000002
2,2010-07-30,1804246.1600000004
2,2010-08-06,1991909.9799999995
2,2010-08-13,1895601.0499999996
2,2010-08-20,1964335.23
2,2010-08-27,1863840.4900000005
2,2010-09-03,1904608.0899999999
2,2010-09-10,1839128.8299999998
2,2010-09-17,1793903.5999999999
2,2010-09-24,1724557.2200000002
2,2010-10-01,1827440.4299999995
2,2010-10-08,1849921.4400000002
2,2010-10-15,1794355.4899999995
2,2010-10-22,1737947.6399999997
2,2010-10-29,1802755.1099999996
2,2010-11-05,1939061.4100000001
2,2010-11-12,1916812.74
2,2010-11-19,1956739.1700000004
2,2010-11-26,2658725.29
2,2010-12-03,2015781.27
2,2010-12-10,2378726.55
2,2010-12-17,2609166.75
2,2010-12-24,3436007.6799999997
2,2010-12-31,1750434.5499999998
2,2011-01-07,1758050.7899999996
2,2011-01-14,1744193.5799999996
2,2011-01-21,1751384.9000000001
2,2011-01-28,1695371.6800000004
2,2011-02-04,1929346.2299999997
2,2011-02-11,2168041.61
2,2011-02-18,2080884.82
2,2011-02-25,1833511.0799999998
2,2011-03-04,1981607.7800000005
2,2011-03-11,1879107.3100000003
2,2011-03-18,1902557.6600000001
2,2011-03-25,1766162.0499999998
2,2011-04-01,1800171.36
2,2011-04-08,1847552.61
2,2011-04-15,1856467.8399999999
2,2011-04-22,1886339.5999999996
2,2011-04-29,1745545.28
2,2011-05-06,1837743.6000000008
2,2011-05-13,1838513.0699999996
2,2011-05-20,1688281.8599999999
2,2011-05-27,1797732.5599999998
2,2011-06-03,1933756.2100000004
2,2011-06-10,1929153.1600000001
2,2011-06-17,1953771.9899999995
2,2011-06-24,1790925.8000000005
2,2011-07-01,1866243.0000000002
2,2011-07-08,1853161.99
2,2011-07-15,1785187.2900000003
2,2011-07-22,1743816.4100000001
2,2011-07-29,1680693.0600000005
2,2011-08-05,1876704.2600000005
2,2011-08-12,1812768.2600000005
2,2011-08-19,1844094.5899999994
2,2011-08-26,1821139.9099999997
2,2011-09-02,1809119.6999999997
2,2011-09-09,1748000.6500000001
2,2011-09-16,1691439.5200000003
2,2011-09-23,1669299.78
2,2011-09-30,1650394.4400000002
2,2011-10-07,1837553.43
2,2011-10-14,1743882.19
2,2011-10-21,1834680.2500000002
2,2011-10-28,1769296.2500000005
2,2011-11-04,1959707.9000000006
2,2011-11-11,1920725.1499999992
2,2011-11-18,1902762.5000000002
2,2011-11-25,2614202.3000000003
2,2011-12-02,1954951.9999999998
2,2011-12-09,2290549.3200000003
2,2011-12-16,2432736.5200000005
2,2011-12-23,3224369.8000000007
2,2011-12-30,1874226.52
2,2012-01-06,1799520.1400000001
2,2012-01-13,1744725.4800000002
2,2012-01-20,1711769.11
2,2012-01-27,1660906.14
2,2012-02-03,1935299.9399999997
2,2012-02-10,2103322.68
2,2012-02-17,2196688.4599999995
2,2012-02-24,1861802.7000000004
2,2012-03-02,1952555.66
2,2012-03-09,1937628.2599999998
2,2012-03-16,1976082.1300000001
2,2012-03-23,1790439.1600000001
2,2012-03-30,1857480.8399999996
2,2012-04-06,2129035.91
2,2012-04-13,1935869.1
2,2012-04-20,1847344.4500000002
2,2012-04-27,1764133.0899999996
2,2012-05-04,1923957.0900000003
2,2012-05-11,1917520.99
