year,month,sales
2010,2,190332983
2010,3,181919802.5
2010,4,231412368
2010,5,186710934.3
2010,6,192246172.4
2010,7,232580126
2010,8,187640110.9
2010,9,177267896.4
2010,10,217161824
2010,11,202853370.1
2010,12,288760532.7
2011,1,163703966.8
2011,2,186331327.9
2011,3,179356448.3
2011,4,226526511
2011,5,181648158.2
2011,6,189773385.2
2011,7,229911398.9
2011,8,188599332.2
2011,9,220847738.4
2011,10,183261283.2
2011,11,210162354.9
2011,12,288078102.5
2012,1,168894471.7
2012,2,192063579.5
2012,3,231509650.5
2012,4,188920906
2012,5,188766479.5
2012,6,240610329.3
2012,7,187509452.4
2012,8,236850765.7
2012,9,180645544.5
2012,10,184361680.4
